query
Tell me how many Smilodon scans there are
Tell me how many Neanderthal scans there are
Tell me how many Archaeopteryx scans there are
Tell me how many Coelacanth scans there are
Tell me how many Thylacine scans there are
Tell me how many Aye-aye scans there are
Tell me how many Tarsier scans there are
Tell me how many Echidna scans there are
Tell me how many Platypus scans there are
Tell me how many Pangolin scans there are
Tell me how many Axolotl scans there are
Tell me how many Lungfish scans there are
Tell me how many Tuatara scans there are
Tell me how many Glyptodon scans there are
Tell me how many Ground sloth scans there are
Tell me how many Dire wolf scans there are
Tell me how many Megalodon scans there are
Tell me how many Dunkleosteus scans there are
Tell me how many Triceratops scans there are
Tell me how many Tyrannosaurus rex scans there are
Tell me how many Velociraptor scans there are
Tell me how many Plesiosaur scans there are
Tell me how many Ichthyosaur scans there are
Tell me how many Mastodon scans there are
